transition,from_label,to_label,from_midpoint,to_midpoint,drift_index,diagonal_mass
2016-2016 to 2017-2017,2016-2016,2017-2017,2016.0,2017.0,0.3679,0.6656
2017-2017 to 2018-2018,2017-2017,2018-2018,2017.0,2018.0,0.2972,0.7298
2018-2018 to 2019-2019,2018-2018,2019-2019,2018.0,2019.0,0.2887,0.7375
2019-2019 to 2020-2020,2019-2019,2020-2020,2019.0,2020.0,0.249,0.7737
2020-2020 to 2021-2021,2020-2020,2021-2021,2020.0,2021.0,0.2724,0.7523
2021-2021 to 2022-2022,2021-2021,2022-2022,2021.0,2022.0,0.2465,0.7759
2022-2022 to 2023-2023,2022-2022,2023-2023,2022.0,2023.0,0.1701,0.8453
2023-2023 to 2024-2024,2023-2023,2024-2024,2023.0,2024.0,0.1743,0.8415
2024-2024 to 2025-2025,2024-2024,2025-2025,2024.0,2025.0,0.2181,0.8017
