transition,from_label,to_label,from_midpoint,to_midpoint,drift_index,diagonal_mass
2016-2016 to 2017-2017,2016-2016,2017-2017,2016.0,2017.0,0.3223,0.707
2017-2017 to 2018-2018,2017-2017,2018-2018,2017.0,2018.0,0.2517,0.7712
2018-2018 to 2019-2019,2018-2018,2019-2019,2018.0,2019.0,0.2381,0.7836
2019-2019 to 2020-2020,2019-2019,2020-2020,2019.0,2020.0,0.1745,0.8413
2020-2020 to 2021-2021,2020-2020,2021-2021,2020.0,2021.0,0.2142,0.8053
2021-2021 to 2022-2022,2021-2021,2022-2022,2021.0,2022.0,0.1921,0.8253
2022-2022 to 2023-2023,2022-2022,2023-2023,2022.0,2023.0,0.1056,0.904
2023-2023 to 2024-2024,2023-2023,2024-2024,2023.0,2024.0,0.116,0.8946
2024-2024 to 2025-2025,2024-2024,2025-2025,2024.0,2025.0,0.1517,0.8621
