record_id,source,doi,title,year,status,matched_rule,matched_record_id,matched_source
S_55,Scopus,10.2174/0109298673409273251103055503,Ferroptosis Targeting by β-Sitosterol in Cervical Cancer Radiotherapy,2025,removed as duplicate,exact DOI match,W_847,WoS
S_57,Scopus,10.1016/j.drudis.2025.104528,Strategic modulation of the gastrointestinal microbiome to enhance pancreatic cancer immunotherapy,2025,removed as duplicate,exact DOI match,W_276,WoS
S_58,Scopus,10.3389/fcimb.2025.1586442,The activity of cell-free supernatant of Lactobacillus crispatus M247: a promising treatment against vaginal infections,2025,removed as duplicate,exact DOI match,W_878,WoS
S_59,Scopus,10.1097/md.0000000000038991,Immunotherapy for renal cell carcinoma: New therapeutic combinations and adverse event management strategies A review,2024,removed as duplicate,exact DOI match,W_125,WoS
S_60,Scopus,10.3390/ijms26125521,"Oleocanthal as a Multifunctional Anti-Cancer Agent: Mechanistic Insights, Advanced Delivery Strategies, and Synergies for Precision Oncology",2025,removed as duplicate,exact DOI match,W_381,WoS
S_62,Scopus,10.1152/ajpcell.00412.2025,Strategies for overcoming ABC transporter-mediated multidrug resistance in colorectal cancer,2025,removed as duplicate,exact DOI match,W_287,WoS
S_65,Scopus,10.1016/j.xcrm.2023.101355,Multi-omics of the gut microbial ecosystem in patients with microsatellite-instability-high gastrointestinal cancer resistant to immunotherapy,2024,removed as duplicate,exact DOI match,W_331,WoS
S_70,Scopus,10.1186/s13020-024-01032-7,Potential of natural products and gut microbiome in tumor immunotherapy,2024,removed as duplicate,exact DOI match,W_419,WoS
S_72,Scopus,10.1186/s12964-025-02275-z,Combination strategies of gut microbiota in cancer therapy through metabolic reprogramming and immune remodeling,2025,removed as duplicate,exact DOI match,W_311,WoS
S_73,Scopus,10.1016/j.xcrm.2024.101487,Microbiome bacterial influencers of host immunity and response to immunotherapy,2024,removed as duplicate,exact DOI match,W_88,WoS
S_74,Scopus,10.1002/advs.202413128,The Gut Microbiota Affects Anti-TNF Responsiveness by Activating the NAD+ Salvage Pathway in Ulcerative Colitis,2025,removed as duplicate,exact DOI match,W_396,WoS
S_75,Scopus,10.1080/19490976.2025.2473504,The gut microbiota: an emerging modulator of drug resistance in hepatocellular carcinoma,2025,removed as duplicate,exact DOI match,W_272,WoS
S_78,Scopus,10.1016/j.apsb.2023.11.018,The emerging tumor microbe microenvironment: From delineation to multidisciplinary approach-based interventions,2024,removed as duplicate,exact DOI match,W_568,WoS
S_79,Scopus,10.1016/j.phrs.2023.107033,Baicalin circumvents anti-PD-1 resistance by regulating the gut microbiota metabolite short-chain fatty acids,2024,removed as duplicate,exact DOI match,W_353,WoS
S_80,Scopus,10.3390/biom15081165,Effect of Nematodes-Bacteria Complex Metabolites on Cancer and Tumor Progression,2025,removed as duplicate,exact DOI match,W_518,WoS
S_81,Scopus,10.1007/s11864-025-01343-3,"Revolutionizing Breast Cancer Therapeutics: Intersecting Frontiers of Precision Medicine, Nanotechnology, and Drug Delivery Innovations",2025,removed as duplicate,exact DOI match,W_793,WoS
S_84,Scopus,10.1186/s13099-025-00757-6,Fusobacterium nucleatum and non-coding RNAs: orchestrating oncogenic pathways in colorectal cancer,2025,removed as duplicate,exact DOI match,W_292,WoS
S_85,Scopus,10.1186/s12935-025-03787-x,The human microbiome: redefining cancer pathogenesis and therapy,2025,removed as duplicate,exact DOI match,W_358,WoS
S_86,Scopus,10.1002/med.21989,"The triangular relationship between traditional Chinese medicines, intestinal flora, and colorectal cancer",2024,removed as duplicate,exact DOI match,W_312,WoS
S_87,Scopus,10.1007/s11033-025-10626-9,"Investigating postbiotics as innovative adjuvants: deciphering the gut-breast connection in breast Cancer therapy, from gut microbiome to personalized medicine",2025,removed as duplicate,exact DOI match,W_427,WoS
S_90,Scopus,10.1177/15347354241269870,Targeting the Gut Microbiome to Improve Immunotherapy Outcomes: A Review,2024,removed as duplicate,exact DOI match,W_257,WoS
S_91,Scopus,10.3390/ijms26146954,Analyzing the Blueprint: Exploring the Molecular Profile of Metastasis and Therapeutic Resistance,2025,removed as duplicate,exact DOI match,W_590,WoS
