sample_id,set,record_index,source,doi,title,journal,year
M141,main,336,,10.3389/fonc.2025.1690541,Gut microbiome alterations and their clinical and biological implications in ovarian cancer: a systematic review,FRONTIERS IN ONCOLOGY,2025
M142,main,387,,10.1038/s41698-025-00960-3,Bifidobacterium boosts anti-PD-1 effectiveness through JAK pathway in hepatocellular carcinoma,NPJ PRECISION ONCOLOGY,2025
M143,main,8,,10.1002/cam4.70994,Gut Microbiota Reshapes the Tumor Microenvironment and Affects the Efficacy of Colorectal Cancer Immunotherapy,CANCER MEDICINE,2025
M144,main,997,,10.1016/j.bneo.2025.100114,Gut Faecalibacterium abundance in patients with plasma cell disorders is associated with survival after autologous HSCT,Blood Neoplasia,2025
M145,main,678,,10.3390/healthcare13080923,New Therapeutic Challenges in Pediatric Gastroenterology: A Narrative Review,HEALTHCARE,2025
M146,main,470,,10.2174/0115748928269276231120103256,Mechanisms of Anti-PD Therapy Resistance in Digestive System Neoplasms,RECENT PATENTS ON ANTI-CANCER DRUG DISCOVERY,2025
M147,main,667,,10.1002/mbo3.70036,Assessing Diversity Scaling in Lung Cancer Microbiome Across Individuals and Tissue Types,MICROBIOLOGYOPEN,2025
M148,main,760,,10.3389/fimmu.2025.1717062,Reprogramming the tumor microenvironment to overcome immunotherapy resistance in pancreatic cancer,FRONTIERS IN IMMUNOLOGY,2025
M149,main,128,,10.3389/fimmu.2025.1604216,Trends and hotspots in research related to tumor immune escape: bibliometric analysis and future perspectives,FRONTIERS IN IMMUNOLOGY,2025
M150,main,536,,10.3389/fphar.2024.1510851,Intratumor microbiome-derived butyrate promotes chemo-resistance in colorectal cancer,FRONTIERS IN PHARMACOLOGY,2025
M151,main,320,,10.1007/s12094-024-03710-2,The gut microbiota is altered significantly in primary diffuse large b-cell lymphoma patients and relapse refractory diffuse large b-cell lymphoma patients,CLINICAL & TRANSLATIONAL ONCOLOGY,2025
M152,main,358,,10.1186/s12935-025-03787-x,The human microbiome: redefining cancer pathogenesis and therapy,CANCER CELL INTERNATIONAL,2025
M153,main,456,,10.1017/erm.2025.10029,Microbiome-driven resistance in cervical cancer therapy: from mechanistic dissection to clinical translation,EXPERT REVIEWS IN MOLECULAR MEDICINE,2025
P01,pilot,1087,,10.1146/annurev-pharmtox-061124-102218,Gut Microbiota–Related Biomarkers in Immuno-Oncology,Annual Review of Pharmacology and Toxicology,2025
P02,pilot,241,,10.1080/14737140.2023.2262765,The long and winding road of faecal microbiota transplants to targeted intervention for improvement of immune checkpoint inhibition therapy,EXPERT REVIEW OF ANTICANCER THERAPY,2023
P03,pilot,716,,10.1097/MEG.0000000000001288,Recurrent Clostridium difficile infection is associated with treatment failure and prolonged illness in cancer patients,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,2019
P04,pilot,1006,,10.3748/wjg.v30.i41.4496,Harnessing the power of Calculus bovis: Anti-cancer properties and Wnt pathway modulation in hepatocellular carcinoma,World Journal of Gastroenterology,2024
P05,pilot,765,,10.1111/apt.13436,Review article: the potential mechanisms of action of rifaximin in the management of inflammatory bowel diseases,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,2016
P06,pilot,1390,,10.1002/path.5255,Recent Advances in Pathology: the 2019 Annual Review Issue of The Journal of Pathology,Journal of Pathology,2019
P07,pilot,78,,10.12788/j.sder.2018.019,Biomarkers for immune therapy in melanoma,SEMINARS IN CUTANEOUS MEDICINE AND SURGERY,2018
P08,pilot,811,,10.6133/apjcn.202406_33(2).0002,Role of dietary nutrients and metabolism in colorectal cancer,ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,2024
P09,pilot,1084,,10.3390/cancers17132244,Emerging Techniques of Translational Research in Immuno-Oncology: A Focus on Non-Small Cell Lung Cancer,Cancers,2025
P10,pilot,1045,,10.1016/j.berh.2025.102090,Pipeline treatments on psoriatic disease,Best Practice and Research: Clinical Rheumatology,2025
P11,pilot,181,,10.1097/CCO.0000000000000603,Mechanisms of resistance and predictive biomarkers of response to targeted therapies and immunotherapies in metastatic melanoma,CURRENT OPINION IN ONCOLOGY,2020
P12,pilot,957,,10.1177/1759720X20951733,Uveitis in spondyloarthritis,THERAPEUTIC ADVANCES IN MUSCULOSKELETAL DISEASE,2020
